mask,vendor,freq,n_digits,status,beaten_by
AAA##AAA,V01,1,2,REJECTED,AAAAA###
####-AA-AA###-###,V01,1,10,ACCEPTED,
-A-##,V01,1,2,ACCEPTED,
####A#,V01,1,5,REJECTED,A#####
-A-###A,V01,1,3,ACCEPTED,
AAAA.#,V01,1,1,ACCEPTED,
"#""-AA-AA###-##-",V01,1,6,ACCEPTED,
"#""-AA-AA###-##A",V01,1,6,REJECTED,"#""-AA-AA###-###"
###A#-AA###,V01,1,7,ACCEPTED,
##.#AAAAAAAAAA,V01,1,3,ACCEPTED,
AAA#AAAAA-###,V01,1,4,REJECTED,AAA##AAA#-###
AAA##AAA#-###,V01,1,6,ACCEPTED,
AAA#AAAAA-##,V01,1,3,REJECTED,AAAAAAAA#-##
AAAA#-,V01,1,1,ACCEPTED,
AA###AA###,V01,1,6,REJECTED,######A###
AAA##AA#A-##,V01,1,5,REJECTED,AA###AAA#-##
A#A-A,V01,1,1,REJECTED,AAA-#
AAAAAAA-AA###,V01,1,3,ACCEPTED,
AAA-AA###-###AA#AA,V01,1,7,ACCEPTED,
AAAAAAAA#-#,V01,1,2,REJECTED,AA#A#AAAA-#
##-AA-AA###-###,V01,1,8,ACCEPTED,
AA#AAA-AA##,V01,1,3,ACCEPTED,
#A-AA-AA###-###,V01,1,7,REJECTED,##-AA-AA###-###
A##-,V01,1,2,ACCEPTED,
##A#,V01,1,3,ACCEPTED,
##-######,V01,1,8,ACCEPTED,
A##-AA-###A,V01,1,5,ACCEPTED,
##-AA,V01,1,2,ACCEPTED,
"##""-AA-AA#A#-###",V01,1,7,REJECTED,"##""-AA-AA###-###"
AA#AAA-AA##A,V01,1,3,REJECTED,###A##-AAAA#
A#A#,V01,1,2,ACCEPTED,
##-#-###,V01,1,6,ACCEPTED,
##--#-#-#,V01,1,5,ACCEPTED,
#AA-AA-AA###-##,V01,1,6,ACCEPTED,
AAAA##AAAA-,V01,1,2,ACCEPTED,
"##""-AA-AA###-#A",V01,1,6,REJECTED,"##""-AA-AA###-##"
A##-AA-###-#,V01,1,6,ACCEPTED,
"#""-AA-AA#A#-###",V01,1,6,REJECTED,"#""-AA-AA###-##A"
###A-AA-AA###-###,V01,1,9,REJECTED,####-AA-AA###-###
AAAAAA-AA##,V01,1,2,REJECTED,AA#AAA-AA##
AA#####,V01,1,5,REJECTED,####A##
#AA-AA-AA###-###,V01,1,7,REJECTED,###-AA-AA###-###
AA.##,V01,1,2,REJECTED,##.##
A#A-AA-A##-##,V01,1,5,ACCEPTED,
-AA-AA#A#-###,V01,1,5,REJECTED,-AA-AA###-###
AA-AA#A#-###,V01,1,5,REJECTED,AA-AA###-###
"#""-A-AA###-###",V01,1,7,ACCEPTED,
######-AAA##,V01,1,8,ACCEPTED,
#####A##-AAA##,V01,1,9,ACCEPTED,
A##-AA-###,V01,1,5,REJECTED,###-AA-###
##-AA-###-A,V01,1,5,ACCEPTED,
AA.#,V01,1,1,ACCEPTED,
AA-#,V01,1,1,ACCEPTED,
A.#A,V01,1,1,ACCEPTED,
A.###,V01,1,3,ACCEPTED,
###A-AA-AA###-###,V02,1,9,REJECTED,####-AA-AA###-###
A#A-AA-AA###-###,V02,1,7,REJECTED,#AA-AA-AA###-###
AAAA#AAAA-#,V02,1,2,REJECTED,AA#A#AAAA-#
AAA-AA.-AA####-###,V02,1,7,ACCEPTED,
AA###A,V02,1,3,REJECTED,#A####
#-AA-AA###-###,V02,1,7,ACCEPTED,
"###-#A-AA###-###""",V02,1,10,ACCEPTED,
AAA-AA-AA###-###,V02,1,6,REJECTED,A#A-AA-AA###-###
AA###AAA#-##,V02,1,6,REJECTED,AAA##AA##-##
-#,V02,1,1,ACCEPTED,
###AAAAAAA,V02,1,3,REJECTED,######A###
###A-AA-AA###-#,V02,1,7,ACCEPTED,
#A#-,V02,1,2,ACCEPTED,
